table,name,description_en,description_es
general,covered_recipient_primary_type_4,"Primary type of medicine practiced by the covered recipient, type 4 of 6","Tipo principal de práctica del beneficiario, tipo 4 de 6"
general,covered_recipient_primary_type_5,"Primary type of medicine practiced by the covered recipient, type 5 of 6","Tipo principal de práctica del beneficiario, tipo 5 de 6"
general,covered_recipient_primary_type_6,"Primary type of medicine practiced by the covered recipient, type 6 of 6","Tipo principal de práctica del beneficiario, tipo 6 de 6"
general,covered_recipient_specialty_1,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 1 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 1 de 6"
general,covered_recipient_specialty_2,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 2 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 2 de 6"
general,covered_recipient_specialty_3,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 3 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 3 de 6"
general,covered_recipient_specialty_4,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 4 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 4 de 6"
general,covered_recipient_specialty_5,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 5 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 5 de 6"
general,covered_recipient_specialty_6,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 6 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 6 de 6"
general,covered_recipient_license_state_1,"Two-letter state abbreviation of the professional license, license 1 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 1 de 5"
general,covered_recipient_license_state_2,"Two-letter state abbreviation of the professional license, license 2 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 2 de 5"
general,covered_recipient_license_state_3,"Two-letter state abbreviation of the professional license, license 3 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 3 de 5"
general,covered_recipient_license_state_4,"Two-letter state abbreviation of the professional license, license 4 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 4 de 5"
general,covered_recipient_license_state_5,"Two-letter state abbreviation of the professional license, license 5 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 5 de 5"
general,submitting_entity_name,"Name of the applicable manufacturer or GPO that submitted the record, which may differ from the entity making the payment","Nombre del fabricante o GPO que presentó el registro, que puede diferir de quien efectuó el pago"
general,reporting_entity_name,Name of the applicable manufacturer or GPO making the payment,Nombre del fabricante o GPO que efectuó el pago
general,reporting_entity_state,Two-letter state abbreviation of the applicable manufacturer or GPO making the payment,Sigla de dos letras del estado del fabricante o GPO que efectuó el pago
general,reporting_entity_country,Country of the applicable manufacturer or GPO making the payment,País del fabricante o GPO que efectuó el pago
general,payment_amount_total,"Total amount of the payment or other transfer of value to the recipient, in US dollars","Monto total del pago o transferencia de valor al beneficiario, en dólares estadounidenses"
general,payment_date,Date the payment or other transfer of value was made,Fecha en que se efectuó el pago o transferencia de valor
general,payment_count,Number of individual payments included in the record total amount,Cantidad de pagos individuales agregados en el monto total del registro
general,payment_form,"Form of the payment or other transfer of value, such as cash, stock or in-kind items","Forma del pago o transferencia de valor, como efectivo, acciones o artículos en especie"
general,payment_nature,"Nature of the payment or other transfer of value, such as consulting, food and beverage, travel or speaker fees","Naturaleza del pago o transferencia de valor, como consultoría, alimentación, viaje u honorarios de conferencia"
general,travel_city,"Destination city, when the payment relates to travel or lodging","Ciudad de destino, cuando el pago se refiere a viaje u hospedaje"
general,travel_state,"Destination state, when the payment relates to travel or lodging","Estado de destino, cuando el pago se refiere a viaje u hospedaje"
general,travel_country,"Destination country, when the payment relates to travel or lodging","País de destino, cuando el pago se refiere a viaje u hospedaje"
general,physician_ownership_indicator,Indicates whether the physician or an immediate family member holds an ownership interest in the reporting manufacturer or GPO,Indica si el médico o un familiar inmediato posee participación societaria en el fabricante o GPO declarante
general,third_party_payment_recipient_indicator,Indicates whether the payment was made to a third party on behalf of the covered recipient,Indica si el pago se hizo a un tercero en nombre del beneficiario
general,third_party_entity_name,Name of the third party entity that received the payment on behalf of the covered recipient,Nombre de la entidad tercera que recibió el pago en nombre del beneficiario
general,charity_indicator,Indicates whether the third party entity that received the payment is a charity,Indica si la entidad tercera que recibió el pago es una institución de caridad
general,third_party_equals_covered_recipient_indicator,Indicates that the third party payment was made in the name of the covered recipient,Indica que el pago a un tercero se hizo en nombre del propio beneficiario
general,contextual_information,Free text supplied by the reporting entity about the payment,Texto libre proporcionado por la entidad declarante sobre el pago
general,delay_in_publication_indicator,Indicates that the reporting entity requested a delay in publication of the record,Indica que la entidad declarante solicitó aplazamiento de la publicación del registro
general,dispute_status,Indicates whether the record was under dispute at the time of publication,Indica si el registro estaba en disputa al momento de la publicación
general,related_product_indicator,"Indicates whether the payment is associated with one or more drugs, biologicals, devices or medical supplies","Indica si el pago está asociado a uno o más medicamentos, productos biológicos, dispositivos o insumos médicos"
general,product_covered_indicator_1,"Indicates whether the product associated with the payment is covered or non-covered, product 1 of 5","Indica si el producto asociado al pago es cubierto o no cubierto, producto 1 de 5"
general,product_type_1,"Indicates whether the product is a drug, biological, device or medical supply, product 1 of 5","Indica si el producto es medicamento, producto biológico, dispositivo o insumo médico, producto 1 de 5"
general,product_category_1,"Product category or therapeutic area, product 1 of 5","Categoría del producto o área terapéutica, producto 1 de 5"
general,product_name_1,"Name of the drug, biological, device or medical supply associated with the payment, product 1 of 5","Nombre del medicamento, producto biológico, dispositivo o insumo médico asociado al pago, producto 1 de 5"
general,product_ndc_1,"National Drug Code (NDC) of the associated drug or biological, product 1 of 5","National Drug Code (NDC) del medicamento o producto biológico asociado, producto 1 de 5"
general,product_pdi_1,"Primary Device Identifier (PDI) of the associated device or medical supply, product 1 of 5","Primary Device Identifier (PDI) del dispositivo o insumo médico asociado, producto 1 de 5"
general,product_covered_indicator_2,"Indicates whether the product associated with the payment is covered or non-covered, product 2 of 5","Indica si el producto asociado al pago es cubierto o no cubierto, producto 2 de 5"
general,product_type_2,"Indicates whether the product is a drug, biological, device or medical supply, product 2 of 5","Indica si el producto es medicamento, producto biológico, dispositivo o insumo médico, producto 2 de 5"
general,product_category_2,"Product category or therapeutic area, product 2 of 5","Categoría del producto o área terapéutica, producto 2 de 5"
general,product_name_2,"Name of the drug, biological, device or medical supply associated with the payment, product 2 of 5","Nombre del medicamento, producto biológico, dispositivo o insumo médico asociado al pago, producto 2 de 5"
general,product_ndc_2,"National Drug Code (NDC) of the associated drug or biological, product 2 of 5","National Drug Code (NDC) del medicamento o producto biológico asociado, producto 2 de 5"
general,product_pdi_2,"Primary Device Identifier (PDI) of the associated device or medical supply, product 2 of 5","Primary Device Identifier (PDI) del dispositivo o insumo médico asociado, producto 2 de 5"
general,product_covered_indicator_3,"Indicates whether the product associated with the payment is covered or non-covered, product 3 of 5","Indica si el producto asociado al pago es cubierto o no cubierto, producto 3 de 5"
general,product_type_3,"Indicates whether the product is a drug, biological, device or medical supply, product 3 of 5","Indica si el producto es medicamento, producto biológico, dispositivo o insumo médico, producto 3 de 5"
general,product_category_3,"Product category or therapeutic area, product 3 of 5","Categoría del producto o área terapéutica, producto 3 de 5"
general,product_name_3,"Name of the drug, biological, device or medical supply associated with the payment, product 3 of 5","Nombre del medicamento, producto biológico, dispositivo o insumo médico asociado al pago, producto 3 de 5"
general,product_ndc_3,"National Drug Code (NDC) of the associated drug or biological, product 3 of 5","National Drug Code (NDC) del medicamento o producto biológico asociado, producto 3 de 5"
general,product_pdi_3,"Primary Device Identifier (PDI) of the associated device or medical supply, product 3 of 5","Primary Device Identifier (PDI) del dispositivo o insumo médico asociado, producto 3 de 5"
general,product_covered_indicator_4,"Indicates whether the product associated with the payment is covered or non-covered, product 4 of 5","Indica si el producto asociado al pago es cubierto o no cubierto, producto 4 de 5"
general,product_type_4,"Indicates whether the product is a drug, biological, device or medical supply, product 4 of 5","Indica si el producto es medicamento, producto biológico, dispositivo o insumo médico, producto 4 de 5"
general,product_category_4,"Product category or therapeutic area, product 4 of 5","Categoría del producto o área terapéutica, producto 4 de 5"
general,product_name_4,"Name of the drug, biological, device or medical supply associated with the payment, product 4 of 5","Nombre del medicamento, producto biológico, dispositivo o insumo médico asociado al pago, producto 4 de 5"
general,product_ndc_4,"National Drug Code (NDC) of the associated drug or biological, product 4 of 5","National Drug Code (NDC) del medicamento o producto biológico asociado, producto 4 de 5"
general,product_pdi_4,"Primary Device Identifier (PDI) of the associated device or medical supply, product 4 of 5","Primary Device Identifier (PDI) del dispositivo o insumo médico asociado, producto 4 de 5"
general,product_covered_indicator_5,"Indicates whether the product associated with the payment is covered or non-covered, product 5 of 5","Indica si el producto asociado al pago es cubierto o no cubierto, producto 5 de 5"
general,product_type_5,"Indicates whether the product is a drug, biological, device or medical supply, product 5 of 5","Indica si el producto es medicamento, producto biológico, dispositivo o insumo médico, producto 5 de 5"
general,product_category_5,"Product category or therapeutic area, product 5 of 5","Categoría del producto o área terapéutica, producto 5 de 5"
general,product_name_5,"Name of the drug, biological, device or medical supply associated with the payment, product 5 of 5","Nombre del medicamento, producto biológico, dispositivo o insumo médico asociado al pago, producto 5 de 5"
general,product_ndc_5,"National Drug Code (NDC) of the associated drug or biological, product 5 of 5","National Drug Code (NDC) del medicamento o producto biológico asociado, producto 5 de 5"
general,product_pdi_5,"Primary Device Identifier (PDI) of the associated device or medical supply, product 5 of 5","Primary Device Identifier (PDI) del dispositivo o insumo médico asociado, producto 5 de 5"
general,publication_date,Date the record was published by Open Payments,Fecha en que el registro fue publicado por Open Payments
general_legacy,year,Program year the record refers to,Año del programa al que se refiere el registro
general_legacy,record_id,System-assigned unique identifier of the payment record,Identificador único del registro de pago asignado por el sistema Open Payments
general_legacy,physician_profile_id,Unique identifier of the physician profile receiving the payment,Identificador único del perfil del médico que recibió el pago
general_legacy,physician_npi,National Provider Identifier (NPI) of the physician,National Provider Identifier (NPI) del médico
general_legacy,teaching_hospital_ccn,CMS Certification Number (CCN) of the teaching hospital,CMS Certification Number (CCN) del hospital universitario
general_legacy,teaching_hospital_id,System-assigned unique identifier of the teaching hospital,Identificador único del hospital universitario asignado por el sistema Open Payments
general_legacy,reporting_entity_id,Unique identifier of the applicable manufacturer or GPO that reported the payment,Identificador único del fabricante o GPO que declaró el pago
general_legacy,change_type,"Indicates whether the record is new, added, changed or unchanged relative to the previous publication","Indica si el registro es nuevo, añadido, modificado o sin cambios respecto a la publicación anterior"
general_legacy,covered_recipient_type,"Type of recipient: physician, non-physician practitioner, teaching hospital or non-covered entity","Tipo de beneficiario: médico, profesional no médico, hospital universitario o entidad no cubierta"
general_legacy,teaching_hospital_name,"Name of the teaching hospital, as listed in the CMS teaching hospital list","Nombre del hospital universitario, según la lista de hospitales universitarios del CMS"
general_legacy,physician_first_name,"First name of the physician, as reported by the submitting entity","Primer nombre del médico, según lo declarado por la entidad declarante"
general_legacy,physician_middle_name,"Middle name of the physician, as reported by the submitting entity","Segundo nombre del médico, según lo declarado por la entidad declarante"
general_legacy,physician_last_name,"Last name of the physician, as reported by the submitting entity","Apellido del médico, según lo declarado por la entidad declarante"
general_legacy,physician_name_suffix,"Name suffix of the physician, as reported by the submitting entity","Sufijo del nombre del médico, según lo declarado por la entidad declarante"
general_legacy,recipient_address_line_1,First line of the primary business street address of the covered recipient,Primera línea de la dirección comercial principal del beneficiario
general_legacy,recipient_address_line_2,Second line of the primary business street address of the covered recipient,Segunda línea de la dirección comercial principal del beneficiario
general_legacy,recipient_city,City of the primary business address of the covered recipient,Ciudad de la dirección comercial principal del beneficiario
general_legacy,recipient_state,"Two-letter state abbreviation of the covered recipient primary business address, when in the United States","Sigla de dos letras del estado de la dirección comercial principal del beneficiario, cuando está en Estados Unidos"
general_legacy,recipient_zip_code,"Nine-digit ZIP code of the covered recipient primary business address, when in the United States","Código postal de nueve dígitos de la dirección comercial principal del beneficiario, cuando está en Estados Unidos"
general_legacy,recipient_country,Country of the primary business address of the covered recipient,País de la dirección comercial principal del beneficiario
general_legacy,recipient_province,"Province of the covered recipient primary business address, when outside the United States","Provincia de la dirección comercial principal del beneficiario, cuando está fuera de Estados Unidos"
general_legacy,recipient_postal_code,"Postal code of the covered recipient primary business address, when outside the United States","Código postal de la dirección comercial principal del beneficiario, cuando está fuera de Estados Unidos"
general_legacy,physician_primary_type,Primary type of medicine practiced by the physician,Tipo principal de práctica del médico
general_legacy,physician_specialty,Specialty of the physician from the standardized provider taxonomy,Especialidad del médico en la taxonomía estandarizada de prestadores
general_legacy,physician_license_state_1,"Two-letter state abbreviation of the professional license, license 1 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 1 de 5"
general_legacy,physician_license_state_2,"Two-letter state abbreviation of the professional license, license 2 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 2 de 5"
general_legacy,physician_license_state_3,"Two-letter state abbreviation of the professional license, license 3 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 3 de 5"
general_legacy,physician_license_state_4,"Two-letter state abbreviation of the professional license, license 4 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 4 de 5"
general_legacy,physician_license_state_5,"Two-letter state abbreviation of the professional license, license 5 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 5 de 5"
general_legacy,submitting_entity_name,"Name of the applicable manufacturer or GPO that submitted the record, which may differ from the entity making the payment","Nombre del fabricante o GPO que presentó el registro, que puede diferir de quien efectuó el pago"
general_legacy,reporting_entity_name,Name of the applicable manufacturer or GPO making the payment,Nombre del fabricante o GPO que efectuó el pago
general_legacy,reporting_entity_state,Two-letter state abbreviation of the applicable manufacturer or GPO making the payment,Sigla de dos letras del estado del fabricante o GPO que efectuó el pago
general_legacy,reporting_entity_country,Country of the applicable manufacturer or GPO making the payment,País del fabricante o GPO que efectuó el pago
general_legacy,payment_amount_total,"Total amount of the payment or other transfer of value to the recipient, in US dollars","Monto total del pago o transferencia de valor al beneficiario, en dólares estadounidenses"
general_legacy,payment_date,Date the payment or other transfer of value was made,Fecha en que se efectuó el pago o transferencia de valor
general_legacy,payment_count,Number of individual payments included in the record total amount,Cantidad de pagos individuales agregados en el monto total del registro
general_legacy,payment_form,"Form of the payment or other transfer of value, such as cash, stock or in-kind items","Forma del pago o transferencia de valor, como efectivo, acciones o artículos en especie"
general_legacy,payment_nature,"Nature of the payment or other transfer of value, such as consulting, food and beverage, travel or speaker fees","Naturaleza del pago o transferencia de valor, como consultoría, alimentación, viaje u honorarios de conferencia"
general_legacy,travel_city,"Destination city, when the payment relates to travel or lodging","Ciudad de destino, cuando el pago se refiere a viaje u hospedaje"
general_legacy,travel_state,"Destination state, when the payment relates to travel or lodging","Estado de destino, cuando el pago se refiere a viaje u hospedaje"
general_legacy,travel_country,"Destination country, when the payment relates to travel or lodging","País de destino, cuando el pago se refiere a viaje u hospedaje"
general_legacy,physician_ownership_indicator,Indicates whether the physician or an immediate family member holds an ownership interest in the reporting manufacturer or GPO,Indica si el médico o un familiar inmediato posee participación societaria en el fabricante o GPO declarante
general_legacy,third_party_payment_recipient_indicator,Indicates whether the payment was made to a third party on behalf of the covered recipient,Indica si el pago se hizo a un tercero en nombre del beneficiario
general_legacy,third_party_entity_name,Name of the third party entity that received the payment on behalf of the covered recipient,Nombre de la entidad tercera que recibió el pago en nombre del beneficiario
general_legacy,charity_indicator,Indicates whether the third party entity that received the payment is a charity,Indica si la entidad tercera que recibió el pago es una institución de caridad
general_legacy,third_party_equals_covered_recipient_indicator,Indicates that the third party payment was made in the name of the covered recipient,Indica que el pago a un tercero se hizo en nombre del propio beneficiario
general_legacy,contextual_information,Free text supplied by the reporting entity about the payment,Texto libre proporcionado por la entidad declarante sobre el pago
general_legacy,delay_in_publication_indicator,Indicates that the reporting entity requested a delay in publication of the record,Indica que la entidad declarante solicitó aplazamiento de la publicación del registro
general_legacy,dispute_status,Indicates whether the record was under dispute at the time of publication,Indica si el registro estaba en disputa al momento de la publicación
general_legacy,related_product_indicator,"Indicates whether the payment is associated with one or more drugs, biologicals, devices or medical supplies","Indica si el pago está asociado a uno o más medicamentos, productos biológicos, dispositivos o insumos médicos"
general_legacy,drug_name_1,"Name of the associated covered drug or biological, drug 1 of 5","Nombre del medicamento o producto biológico cubierto asociado al pago, medicamento 1 de 5"
general_legacy,drug_name_2,"Name of the associated covered drug or biological, drug 2 of 5","Nombre del medicamento o producto biológico cubierto asociado al pago, medicamento 2 de 5"
general_legacy,drug_name_3,"Name of the associated covered drug or biological, drug 3 of 5","Nombre del medicamento o producto biológico cubierto asociado al pago, medicamento 3 de 5"
general_legacy,drug_name_4,"Name of the associated covered drug or biological, drug 4 of 5","Nombre del medicamento o producto biológico cubierto asociado al pago, medicamento 4 de 5"
general_legacy,drug_name_5,"Name of the associated covered drug or biological, drug 5 of 5","Nombre del medicamento o producto biológico cubierto asociado al pago, medicamento 5 de 5"
general_legacy,drug_ndc_1,"National Drug Code (NDC) of the associated covered drug or biological, drug 1 of 5","National Drug Code (NDC) del medicamento o producto biológico cubierto asociado, medicamento 1 de 5"
general_legacy,drug_ndc_2,"National Drug Code (NDC) of the associated covered drug or biological, drug 2 of 5","National Drug Code (NDC) del medicamento o producto biológico cubierto asociado, medicamento 2 de 5"
general_legacy,drug_ndc_3,"National Drug Code (NDC) of the associated covered drug or biological, drug 3 of 5","National Drug Code (NDC) del medicamento o producto biológico cubierto asociado, medicamento 3 de 5"
general_legacy,drug_ndc_4,"National Drug Code (NDC) of the associated covered drug or biological, drug 4 of 5","National Drug Code (NDC) del medicamento o producto biológico cubierto asociado, medicamento 4 de 5"
general_legacy,drug_ndc_5,"National Drug Code (NDC) of the associated covered drug or biological, drug 5 of 5","National Drug Code (NDC) del medicamento o producto biológico cubierto asociado, medicamento 5 de 5"
general_legacy,device_name_1,"Name of the associated covered device or medical supply, device 1 of 5","Nombre del dispositivo o insumo médico cubierto asociado al pago, dispositivo 1 de 5"
general_legacy,device_name_2,"Name of the associated covered device or medical supply, device 2 of 5","Nombre del dispositivo o insumo médico cubierto asociado al pago, dispositivo 2 de 5"
general_legacy,device_name_3,"Name of the associated covered device or medical supply, device 3 of 5","Nombre del dispositivo o insumo médico cubierto asociado al pago, dispositivo 3 de 5"
general_legacy,device_name_4,"Name of the associated covered device or medical supply, device 4 of 5","Nombre del dispositivo o insumo médico cubierto asociado al pago, dispositivo 4 de 5"
general_legacy,device_name_5,"Name of the associated covered device or medical supply, device 5 of 5","Nombre del dispositivo o insumo médico cubierto asociado al pago, dispositivo 5 de 5"
general_legacy,publication_date,Date the record was published by Open Payments,Fecha en que el registro fue publicado por Open Payments
research,year,Program year the record refers to,Año del programa al que se refiere el registro
research,record_id,System-assigned unique identifier of the payment record,Identificador único del registro de pago asignado por el sistema Open Payments
research,covered_recipient_profile_id,Unique identifier of the covered recipient physician or non-physician practitioner profile,Identificador único del perfil del médico o profesional no médico que recibió el pago
research,covered_recipient_npi,National Provider Identifier (NPI) of the covered recipient physician or non-physician practitioner,National Provider Identifier (NPI) del médico o profesional no médico
research,teaching_hospital_ccn,CMS Certification Number (CCN) of the teaching hospital,CMS Certification Number (CCN) del hospital universitario
research,teaching_hospital_id,System-assigned unique identifier of the teaching hospital,Identificador único del hospital universitario asignado por el sistema Open Payments
research,reporting_entity_id,Unique identifier of the applicable manufacturer or GPO that reported the payment,Identificador único del fabricante o GPO que declaró el pago
research,change_type,"Indicates whether the record is new, added, changed or unchanged relative to the previous publication","Indica si el registro es nuevo, añadido, modificado o sin cambios respecto a la publicación anterior"
research,covered_recipient_type,"Type of recipient: physician, non-physician practitioner, teaching hospital or non-covered entity","Tipo de beneficiario: médico, profesional no médico, hospital universitario o entidad no cubierta"
research,noncovered_recipient_entity_name,Name of the non-covered recipient entity that received the research payment,Nombre de la entidad no cubierta que recibió el pago de investigación
research,teaching_hospital_name,"Name of the teaching hospital, as listed in the CMS teaching hospital list","Nombre del hospital universitario, según la lista de hospitales universitarios del CMS"
research,covered_recipient_first_name,"First name of the covered recipient, as reported by the submitting entity","Primer nombre del beneficiario, según lo declarado por la entidad declarante"
research,covered_recipient_middle_name,"Middle name of the covered recipient, as reported by the submitting entity","Segundo nombre del beneficiario, según lo declarado por la entidad declarante"
research,covered_recipient_last_name,"Last name of the covered recipient, as reported by the submitting entity","Apellido del beneficiario, según lo declarado por la entidad declarante"
research,covered_recipient_name_suffix,"Name suffix of the covered recipient, as reported by the submitting entity","Sufijo del nombre del beneficiario, según lo declarado por la entidad declarante"
research,recipient_address_line_1,First line of the primary business street address of the covered recipient,Primera línea de la dirección comercial principal del beneficiario
research,recipient_address_line_2,Second line of the primary business street address of the covered recipient,Segunda línea de la dirección comercial principal del beneficiario
research,recipient_city,City of the primary business address of the covered recipient,Ciudad de la dirección comercial principal del beneficiario
research,recipient_state,"Two-letter state abbreviation of the covered recipient primary business address, when in the United States","Sigla de dos letras del estado de la dirección comercial principal del beneficiario, cuando está en Estados Unidos"
research,recipient_zip_code,"Nine-digit ZIP code of the covered recipient primary business address, when in the United States","Código postal de nueve dígitos de la dirección comercial principal del beneficiario, cuando está en Estados Unidos"
research,recipient_country,Country of the primary business address of the covered recipient,País de la dirección comercial principal del beneficiario
research,recipient_province,"Province of the covered recipient primary business address, when outside the United States","Provincia de la dirección comercial principal del beneficiario, cuando está fuera de Estados Unidos"
research,recipient_postal_code,"Postal code of the covered recipient primary business address, when outside the United States","Código postal de la dirección comercial principal del beneficiario, cuando está fuera de Estados Unidos"
research,covered_recipient_primary_type_1,"Primary type of medicine practiced by the covered recipient, type 1 of 6","Tipo principal de práctica del beneficiario, tipo 1 de 6"
research,covered_recipient_primary_type_2,"Primary type of medicine practiced by the covered recipient, type 2 of 6","Tipo principal de práctica del beneficiario, tipo 2 de 6"
research,covered_recipient_primary_type_3,"Primary type of medicine practiced by the covered recipient, type 3 of 6","Tipo principal de práctica del beneficiario, tipo 3 de 6"
research,covered_recipient_primary_type_4,"Primary type of medicine practiced by the covered recipient, type 4 of 6","Tipo principal de práctica del beneficiario, tipo 4 de 6"
research,covered_recipient_primary_type_5,"Primary type of medicine practiced by the covered recipient, type 5 of 6","Tipo principal de práctica del beneficiario, tipo 5 de 6"
research,covered_recipient_primary_type_6,"Primary type of medicine practiced by the covered recipient, type 6 of 6","Tipo principal de práctica del beneficiario, tipo 6 de 6"
research,covered_recipient_specialty_1,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 1 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 1 de 6"
research,covered_recipient_specialty_2,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 2 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 2 de 6"
research,covered_recipient_specialty_3,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 3 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 3 de 6"
research,covered_recipient_specialty_4,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 4 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 4 de 6"
research,covered_recipient_specialty_5,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 5 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 5 de 6"
research,covered_recipient_specialty_6,"Specialty of the covered recipient from the standardized provider taxonomy, specialty 6 of 6","Especialidad del beneficiario en la taxonomía estandarizada de prestadores, especialidad 6 de 6"
research,covered_recipient_license_state_1,"Two-letter state abbreviation of the professional license, license 1 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 1 de 5"
research,covered_recipient_license_state_2,"Two-letter state abbreviation of the professional license, license 2 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 2 de 5"
research,covered_recipient_license_state_3,"Two-letter state abbreviation of the professional license, license 3 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 3 de 5"
research,covered_recipient_license_state_4,"Two-letter state abbreviation of the professional license, license 4 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 4 de 5"
research,covered_recipient_license_state_5,"Two-letter state abbreviation of the professional license, license 5 of 5","Sigla de dos letras del estado de la licencia profesional, licencia 5 de 5"
research,submitting_entity_name,"Name of the applicable manufacturer or GPO that submitted the record, which may differ from the entity making the payment","Nombre del fabricante o GPO que presentó el registro, que puede diferir de quien efectuó el pago"
research,reporting_entity_name,Name of the applicable manufacturer or GPO making the payment,Nombre del fabricante o GPO que efectuó el pago
research,reporting_entity_state,Two-letter state abbreviation of the applicable manufacturer or GPO making the payment,Sigla de dos letras del estado del fabricante o GPO que efectuó el pago
