name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
election_type_year,STRING,Tipo de eleição e ano ao qual a despesa se refere,,no,,,no,"Código composto: uma letra de tipo de eleição (P primária, G geral, O outra, C convenção, R segundo turno, S especial, E recontagem) seguida do ano com quatro dígitos, por exemplo P2026.",TRANSACTION_PGI,Election type and year the disbursement refers to,Tipo de elección y año al que se refiere el gasto
entity_type,STRING,Tipo de entidade do beneficiário do pagamento,,yes,,,no,,ENTITY_TP,Entity type of the payee,Tipo de entidad del beneficiario del pago
payee_name,STRING,Nome do beneficiário do pagamento,,no,,,no,,NAME,Name of the payee,Nombre del beneficiario del pago
payee_city,STRING,Cidade do beneficiário do pagamento,,no,,,no,,CITY,City of the payee,Ciudad del beneficiario del pago
payee_state,STRING,Sigla de duas letras do estado do beneficiário do pagamento,,no,,,no,"Preenchido pelo declarante; inclui códigos estrangeiros, militares (AA, AE, AP) e erros de digitação, por isso não é ligado ao diretório de estados.",STATE,Two-letter state code of the payee,Código de dos letras del estado del beneficiario del pago
payee_zip_code,STRING,Código postal (ZIP) do beneficiário do pagamento,,no,,,no,,ZIP_CODE,ZIP code of the payee,Código postal (ZIP) del beneficiario del pago
transaction_date,DATE,Data do desembolso,,no,,,no,"A FEC publica a data como declarada, e há erros de digitação: os dados brutos trazem datas de 1899 a 2202. Datas fora da janela plausível são gravadas como nulas — anteriores à criação da FEC em 1975, ou posteriores a 31 de dezembro do próprio ciclo, já que uma transação não pode ser datada depois do ciclo a que pertence. Apenas a data é descartada; a linha e seus demais campos são preservados. São cerca de 7 mil datas em 367 milhões de linhas. O limite inferior é global, e não relativo ao ciclo, porque 2,29 milhões de linhas antecedem legitimamente o próprio ciclo: quitações de empréstimo, reembolsos e memorandos carregam a data da transação original.",TRANSACTION_DT,Date of the disbursement,Fecha del desembolso
transaction_amount,FLOAT64,Valor do desembolso em dólares,,no,,USD,no,,TRANSACTION_AMT,Amount of the disbursement in dollars,Monto del desembolso en dólares
purpose,STRING,Descrição da finalidade do desembolso informada pelo comitê,,no,,,no,,PURPOSE,Description of the purpose of the disbursement reported by the committee,Descripción de la finalidad del desembolso informada por el comité
category,STRING,Código da categoria do desembolso,,yes,,,no,"Campo preenchido pelo declarante: cerca de 99% dos valores seguem a lista de categorias de desembolso da FEC, registrada no dicionário, mas o restante traz valores não canônicos (por exemplo siglas de estado).",CATEGORY,Disbursement category code,Código de la categoría del desembolso
category_description,STRING,Descrição da categoria do desembolso conforme informada no arquivo,,no,,,no,,CATEGORY_DESC,Description of the disbursement category as reported in the file,Descripción de la categoría del desembolso según el archivo
memo_code,STRING,Indicador de memorando; X sinaliza que o valor não entra no total do relatório,,yes,,,no,,MEMO_CD,Memo indicator; X flags that the amount is not included in the report total,Indicador de memorando; X señala que el monto no entra en el total del informe
memo_text,STRING,Descrição textual da atividade informada no memorando,,no,,,no,,MEMO_TEXT,Free-text description of the activity reported in the memo,Descripción textual de la actividad informada en el memorando
